Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
Enchanted,4523,Comedy,Walt Disney Pictures,85000000,340487652,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",2007-11-20
Evan Almighty,2698,Fantasy,Playtone,175000000,173000000,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,2007-06-09
The Last Legion,9703,Action,Dino De Laurentiis Company,67000000,25303038,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",2007-04-19
War,10431,Action,Lionsgate,25000000,40452643,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",2007-08-24
P.S. I Love You,6023,Drama,Wendy Finerman Productions,30000000,156835339,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,2007-11-15
The Kingdom,4349,Thriller,Universal Pictures,70000000,86658558,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,2007-08-22
The Bucket List,7350,Drama,Two Ton Films,45000000,175372502,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",2007-12-25
Aliens vs Predator: Requiem,440,Fantasy,Dune Entertainment,40000000,41797066,"A sequel to 2004's Alien vs. Predator, the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.",2007-12-25
Death Proof,1991,Action,Troublemaker Studios,25000000,25037897,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",2007-05-21
Charlie Wilson's War,6538,Comedy,Universal Pictures,75000000,119000410,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",2007-12-19
American Gangster,4982,Drama,Film Rites,100000000,266465037,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",2007-11-02
Underdog,6589,Action,Walt Disney Pictures,25000000,65270477,A lab accident gives a hound named Shoeshine some serious superpowers -- a secret that the dog eventually shares with the young boy who becomes his owner and friend.,2007-08-03
The Great Debaters,14047,Drama,Marshall Production,15000000,30226144,The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African American college students into an historical powerhouse that took on the Harvard elite.,2007-12-27
Mr. Bean's Holiday,1268,Family,Tiger Aspect Productions,25000000,229736344,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling and true love, among other things.",2007-03-22
